feature,correlation_with_target,mutual_information,single_feature_cv_roc_auc,suspicious_auc_gt_0_90,exactly_equal_target,nearly_equal_target,target_match_ratio
thalach,0.41995504366386993,0.07587276744085125,0.7488953272807439,False,False,False,0.0
cp,0.43207959156640713,0.13089677813598377,0.7439570556758057,False,False,False,0.48013245033112584
ca,-0.4089919797569271,0.11872204949366472,0.7407473795494629,False,False,False,0.2185430463576159
oldpeak,-0.42914583288673797,0.08631609597023715,0.7342889460076961,False,False,False,0.09602649006622517
thal,-0.3431007123895646,0.23641492465525515,0.7054667458313292,False,False,False,0.023178807947019868
exang,-0.4356007617136186,0.11368040434334148,0.7050189393939392,False,False,False,0.2814569536423841
slope,0.34393953248938697,0.11427590349809846,0.6928394811207311,False,False,False,0.20198675496688742
age,-0.2214758277665619,0.007055063521736571,0.6427274981962482,False,False,False,0.0
sex,-0.2836093577958621,0.03019122614862635,0.632545695045695,False,False,False,0.3841059602649007
restecg,0.1348744470286463,0.01782717999116512,0.5737385010822511,False,False,False,0.5761589403973509
chol,-0.09984896860300199,0.061418594582287156,0.5697453202661537,False,False,False,0.0
trestbps,-0.14008254379860638,0.0,0.567583072791406,False,False,False,0.0
fbs,-0.02682597056597011,0.013241428519969567,0.5093644781144782,False,False,False,0.4602649006622517
